country,code,var,var_code,pop_2050
"Korea, Dem. People's Rep.",PRK,"Population, total",SP.POP.TOTL,25807197
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,44893100
Kosovo,XKX,"Population, total",SP.POP.TOTL,1772812
Kuwait,KWT,"Population, total",SP.POP.TOTL,5155414
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,9909988
Lao PDR,LAO,"Population, total",SP.POP.TOTL,9775552
Latvia,LVA,"Population, total",SP.POP.TOTL,1460559
Lebanon,LBN,"Population, total",SP.POP.TOTL,4937579
Lesotho,LSO,"Population, total",SP.POP.TOTL,2898369
Liberia,LBR,"Population, total",SP.POP.TOTL,8890700
Libya,LBY,"Population, total",SP.POP.TOTL,8539976
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,42287
Lithuania,LTU,"Population, total",SP.POP.TOTL,2258486
Luxembourg,LUX,"Population, total",SP.POP.TOTL,780190
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,881666
Madagascar,MDG,"Population, total",SP.POP.TOTL,51592965
Malawi,MWI,"Population, total",SP.POP.TOTL,37159300
Malaysia,MYS,"Population, total",SP.POP.TOTL,41032433
Maldives,MDV,"Population, total",SP.POP.TOTL,569909
Mali,MLI,"Population, total",SP.POP.TOTL,47439802
Malta,MLT,"Population, total",SP.POP.TOTL,518136
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,51211
Mauritania,MRT,"Population, total",SP.POP.TOTL,8914673
Mauritius,MUS,"Population, total",SP.POP.TOTL,1186505
Mexico,MEX,"Population, total",SP.POP.TOTL,143772364
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,135457
Moldova,MDA,"Population, total",SP.POP.TOTL,1982210
Monaco,MCO,"Population, total",SP.POP.TOTL,37664
Mongolia,MNG,"Population, total",SP.POP.TOTL,4518856
Montenegro,MNE,"Population, total",SP.POP.TOTL,575065
Morocco,MAR,"Population, total",SP.POP.TOTL,45044990
Mozambique,MOZ,"Population, total",SP.POP.TOTL,63044497
Myanmar,MMR,"Population, total",SP.POP.TOTL,59929399
Namibia,NAM,"Population, total",SP.POP.TOTL,3779918
Nauru,NRU,"Population, total",SP.POP.TOTL,14695
Nepal,NPL,"Population, total",SP.POP.TOTL,37401365
Netherlands,NLD,"Population, total",SP.POP.TOTL,17901108
New Caledonia,NCL,"Population, total",SP.POP.TOTL,326524
New Zealand,NZL,"Population, total",SP.POP.TOTL,5838436
Nicaragua,NIC,"Population, total",SP.POP.TOTL,9094641
Niger,NER,"Population, total",SP.POP.TOTL,67043296
Nigeria,NGA,"Population, total",SP.POP.TOTL,377459883
North Macedonia,MKD,"Population, total",SP.POP.TOTL,1871174
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,50050
Norway,NOR,"Population, total",SP.POP.TOTL,6349137
Oman,OMN,"Population, total",SP.POP.TOTL,6328978
Pakistan,PAK,"Population, total",SP.POP.TOTL,367808468
Palau,PLW,"Population, total",SP.POP.TOTL,16689
Panama,PAN,"Population, total",SP.POP.TOTL,5736121
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,14910369
Paraguay,PRY,"Population, total",SP.POP.TOTL,8591486
Peru,PER,"Population, total",SP.POP.TOTL,42022554
Philippines,PHL,"Population, total",SP.POP.TOTL,157891622
Poland,POL,"Population, total",SP.POP.TOTL,29843506
Portugal,PRT,"Population, total",SP.POP.TOTL,9316816
Puerto Rico,PRI,"Population, total",SP.POP.TOTL,2669244
Qatar,QAT,"Population, total",SP.POP.TOTL,3358454
Romania,ROU,"Population, total",SP.POP.TOTL,16249819
Russian Federation,RUS,"Population, total",SP.POP.TOTL,132064640
Rwanda,RWA,"Population, total",SP.POP.TOTL,23030046
Samoa,WSM,"Population, total",SP.POP.TOTL,320016
San Marino,SMR,"Population, total",SP.POP.TOTL,32044
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,366663
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,48374543
Senegal,SEN,"Population, total",SP.POP.TOTL,32562869
Serbia,SRB,"Population, total",SP.POP.TOTL,5298996
Seychelles,SYC,"Population, total",SP.POP.TOTL,130881
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,13595023
Singapore,SGP,"Population, total",SP.POP.TOTL,5934326
Sint Maarten (Dutch part),SXM,"Population, total",SP.POP.TOTL,..
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,4688560
Slovenia,SVN,"Population, total",SP.POP.TOTL,1981948
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,1225407
Somalia,SOM,"Population, total",SP.POP.TOTL,36462830
South Africa,ZAF,"Population, total",SP.POP.TOTL,73529753
South Sudan,SSD,"Population, total",SP.POP.TOTL,17460846
Spain,ESP,"Population, total",SP.POP.TOTL,43952896
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,22112856
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,46882
St. Lucia,LCA,"Population, total",SP.POP.TOTL,177856
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,..
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,101691
Sudan,SDN,"Population, total",SP.POP.TOTL,84494269
Suriname,SUR,"Population, total",SP.POP.TOTL,725519
Sweden,SWE,"Population, total",SP.POP.TOTL,11778568
Switzerland,CHE,"Population, total",SP.POP.TOTL,9691556
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,38306374
Tajikistan,TJK,"Population, total",SP.POP.TOTL,15200989
Tanzania,TZA,"Population, total",SP.POP.TOTL,129931520
Thailand,THA,"Population, total",SP.POP.TOTL,67880083
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,1806869
Togo,TGO,"Population, total",SP.POP.TOTL,15478883
Tonga,TON,"Population, total",SP.POP.TOTL,131225
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1485139
Tunisia,TUN,"Population, total",SP.POP.TOTL,14315779
Turkiye,TUR,"Population, total",SP.POP.TOTL,95120416
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,8263833
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,52865
Tuvalu,TUV,"Population, total",SP.POP.TOTL,13211
Uganda,UGA,"Population, total",SP.POP.TOTL,87622081
Ukraine,UKR,"Population, total",SP.POP.TOTL,35690236
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,11449471
